form	total
Short films/Short films - Canada	2158
Television/Television series	1258
Feature films/Feature films - Mexico	11
Short films/Short films - Italy	57
Short films/Short films - Sweden	81
Feature films/Feature films - Italy	181
Feature films/Feature films - Chile	1
Short films/Short films - Netherlands	48
Feature films/Feature films - France	377
Feature films/Feature films - Palestine	6
Feature films/Feature films - Ireland	26
Television/Mini-series	93
Short films	25104
Short films/Short films - Greece	2
Short films/Short films - Norway	19
Short films/Short films - Australia	7784
Short films/Short films - Spain	5
Feature films/Feature films - Afghanistan	1
Television	2786
Short films/Short films - Japan	175
Computer program	85
Feature films/Feature films - Japan	135
Short films/Short films - Great Britain	4418
Feature films/Feature films - Egypt	13
Television/Television comedies/Television comedies - Australia	64
Television/Television series/Television series - United States	4
Feature films/Feature films - Botswana	1
Short films/Short films - Poland	30
Television/Television programs/Television programs - United States	348
Short films/Short films - Austria	3
Game	14
Short films/Short films - Afghanistan	6
Short films/Short films - Iran	4
Feature films/Feature films - Slovenia	2
Feature films/Feature films - Great Britain	1039
Documentation	1
Short films/Short films - Bulgaria	17
Feature films/Feature films - China	167
Short films/Short films - Hungary	25
Feature films/Feature films - Portugal	3
Feature films/Feature films - New Zealand	61
Feature films/Feature films - Turkey	3
Feature films/Feature films - Belgium	16
Short films/Short films - India	130
Silent films	693
Mixed media	21
Feature films/Feature films - Scotland	3
Feature films/Feature films - Australia	845
Feature films/Feature films - Macedonia	2
Short films/Short films - Ireland	19
Feature films/Feature films - Brazil	4
Feature films/Feature films - Netherlands	10
Short films/Short films - Nigeria	6
Motion picture sequels	105
Short films/Short films - South Africa	44
Short films/Short films - Denmark	65
Television/Television series/Television series - Great Britain	42
Television/Television programs/Television programs - Australia	369
Feature films/Feature films - Finland	5
Short films/Short films - Germany	455
Feature films/Feature films - Russia	11
Feature films/Feature films - Sweden	42
Short films/Short films - New Zealand	292
Feature films/Feature films - Hungary	17
Feature films/Feature films - Jamaica	5
Multimedia	11
Television/Television - Japan	15
Feature films/Feature films - Korea	7
Short films/Short films - Israel	9
Digital Art	33
Short films/Short films - Soviet Union	33
Short films/Short films - Venezuela	1
Feature films/Feature films - Hong Kong	69
Silent films/Silent films - Soviet Union	8
Feature films/Feature films - Cuba	12
Feature films/Feature films - Indonesia	15
Feature films/Feature films - Iran	31
Television/Television programs	1288
Television/Television serials	41
Short films/Short films - Iceland	8
Feature films/Feature films - Denmark	18
Short films/Short films - Egypt	3
Short films/Short films - Singapore	3
Short films/Short films - Belgium	23
Feature films/Feature films - Austria	8
Television/Television programs/Television programs - Great Britain	627
Feature films/Feature films - Lebanon	3
Feature films/Feature films - Yugoslavia	7
Feature films/Feature films - Burkina Faso	1
Feature films/Feature films - Ivory Coast	1
Short films/Short films - Ghana	4
Short films/Short films - Romania	6
Feature films/Feature films - Spain	47
Television/Television comedies	123
Feature films/Feature films - Taiwan	11
Closed captioning	706
Television/Television serials/Television serials - Australia	48
Short films/Short films - Lebanon	3
Television/Television serials/Television serials - Great Britain	17
Short films/Short films - Cuba	1
Short films/Short films - Malaysia	39
Short films/Short films - Peru	1
Short films/Short films - China	83
Feature films/Feature films - Greece	15
Short films/Short films - Taiwan	6
Short films/Short films - Finland	5
Feature films/Feature films - Norway	4
Television/Television series/Television series - Australia	462
Motion picture remakes	68
Short films/Short films - Papua New Guinea	7
Short films/Short films - United States	8070
Short films/Short films - Colombia	1
Feature films/Feature films - South Africa	2
Short films/Short films - France	410
Feature films/Feature films - Soviet Union	82
Foreign language films	2423
Feature films/Feature films - Thailand	3
Feature films/Feature films - Poland	30
Feature films/Feature films - Czech Republic	26
Feature films/Feature films - Vietnam	2
Short films/Short films - Russian Federation	2
Feature films/Feature films - Argentina	9
Feature films/Feature films - United States	3244
Feature films/Feature films - Germany	138
Short films/Short films - Mexico	7
Feature films/Feature films - Switzerland	5
	2944
Television/Television programs/Reality television programs	4
Feature films/Feature films - Canada	135
Feature films	6688
Short films/Short films - Czech Republic	155
Feature films/Feature films - India	22
Short films/Short films - Yugoslavia	26
Short films/Short films - Switzerland	21
Advertising	40
