language_keywords	total
Indonesian	17
Silent	7
Dutch	5
Czech	27
Danish	10
Italian	235
Pushto	1
Macedonian	1
Multiple languages	14
Serbian	18
Arabic	40
Persian	34
Warlpiri	12
French	1022
Turkish	19
Latin	1
Korean	6
Australian languages	3
Norwegian	4
Bantu	1
Chinese	228
Thai	4
Vietnamese	8
Greek	52
Bulgarian	5
German	119
Swiss German	1
Creoles and Pidgins, French-based (Other)	1
Hungarian	14
Mongolian	1
No spoken word	217
Swedish	33
Polish	33
English	34684
Bengali	6
Serbo-Croatian	1
	1502
Japanese	141
Tagalog	2
Russian	71
Finnish	4
Ukrainian	1
Inuktitut	1
Occitan (post-1500)	1
Portuguese	7
Spanish	133
Unknown	13
Croatian	3
Icelandic	1
Breton	1
Hindi	8
Tibetan	5
Kurdish	1
